iter	Passed	Remaining
389	75170	21201
390	75403	21020
391	75735	20865
392	76116	20723
393	76587	20604
394	76931	20450
395	77364	20317
396	77941	20221
397	78400	20092
398	78757	19936
399	79125	19781
400	79482	19622
401	79821	19458
402	80141	19289
403	80537	19137
404	80835	18961
405	81167	18792
406	81453	18612
407	81814	18448
408	82155	18279
409	82379	18083
410	82592	17884
411	83028	17734
412	83339	17555
413	83714	17389
414	84022	17209
415	84234	17008
416	84481	16815
417	84830	16641
418	85047	16441
419	85346	16256
420	85697	16080
421	86015	15898
422	86310	15711
423	86546	15512
424	86799	15317
425	87110	15131
426	87311	14926
427	87608	14737
428	87883	14544
429	88306	14375
430	88625	14188
431	88906	13994
432	89137	13792
433	89347	13587
434	89620	13391
435	90418	13272
436	90671	13071
437	90898	12866
438	91119	12661
439	91332	12454
440	91636	12259
441	91886	12057
442	92160	11858
443	92401	11654
444	92604	11445
445	92786	11234
446	92975	11023
447	93270	10826
448	93460	10615
449	93667	10407
450	93900	10202
451	94077	9990
452	94286	9782
453	94445	9569
454	94607	9356
455	94780	9145
456	95002	8938
457	95188	8729
458	95432	8524
459	95797	8330
460	96025	8123
461	96295	7920
462	96572	7717
463	96776	7508
464	96963	7298
465	97189	7091
466	97355	6879
467	97505	6667
468	97772	6462
469	97956	6252
470	98152	6043
471	98371	5835
472	98626	5629
473	98856	5422
474	99067	5214
475	99241	5003
476	99426	4794
477	99610	4584
478	99817	4376
479	99995	4166
480	100219	3958
481	100383	3748
482	100610	3541
483	100793	3332
484	101016	3124
485	101268	2917
486	101471	2708
487	101803	2503
488	102060	2295
489	102302	2087
490	102564	1880
491	102855	1672
492	103242	1465
493	103527	1257
494	103820	1048
495	104091	839
496	104356	629
497	104566	419
498	104812	210
499	105064	0
