iter	RMSE
157	0.2885217027
158	0.2883060887
159	0.2882171465
160	0.2880852662
161	0.2878302925
162	0.2877420276
163	0.2876221973
164	0.2873883541
165	0.2872718093
166	0.287169603
167	0.2870866285
168	0.286965773
169	0.2867055422
170	0.2865394488
171	0.2863596125
172	0.2861926577
173	0.2860173389
174	0.2858203789
175	0.2856557655
176	0.2855649718
177	0.2854066893
178	0.2852512196
179	0.2851149604
180	0.2849075312
181	0.2847949693
182	0.2846743143
183	0.2845702001
184	0.2844514083
185	0.2841066785
186	0.2840265616
187	0.2838746453
188	0.2836754149
189	0.2835814465
190	0.2833882106
191	0.2832355187
192	0.2830331148
193	0.2829452324
194	0.282725701
195	0.2825762315
196	0.2823913071
197	0.2822646334
198	0.2821550705
199	0.2819887143
200	0.2818331204
201	0.2817226723
202	0.2815651678
203	0.2814636682
204	0.2813113807
205	0.2811793127
206	0.2810528915
207	0.2808700724
208	0.2807322092
209	0.2805709122
210	0.2803465813
211	0.2801881048
212	0.2800331261
213	0.2799357962
214	0.2798563303
215	0.2797587402
216	0.2797308137
217	0.2796466432
218	0.2794441105
219	0.2793063196
220	0.2792412252
221	0.279095297
222	0.279032502
223	0.2788904382
224	0.278751884
225	0.2786068887
226	0.2784561027
227	0.2783881102
228	0.2782477506
229	0.2781154217
230	0.2780553301
231	0.2779783513
232	0.2778229925
233	0.2777432271
234	0.2775841735
235	0.2775078295
236	0.2773969305
237	0.277292424
238	0.2772104226
239	0.2771157901
240	0.2770245282
241	0.276929664
242	0.2768517914
243	0.2767410133
244	0.2765692392
245	0.2764512024
246	0.2763439608
247	0.2762642798
248	0.2761976938
249	0.276029284
250	0.2758930996
251	0.2757676634
252	0.2756534288
253	0.2755376548
254	0.2754460849
255	0.2753743569
256	0.2752981688
257	0.2751548477
258	0.275024255
259	0.2749704289
260	0.2748127974
261	0.2747098169
262	0.2745523492
263	0.2743996127
264	0.2743320565
265	0.2742684774
266	0.2741624073
267	0.2740454291
268	0.2739234235
269	0.2737660703
270	0.2737083188
271	0.2736035513
272	0.2735305694
273	0.2734652201
274	0.2733245738
275	0.2732391929
276	0.2730758073
277	0.272924774
278	0.2728478965
279	0.2728022661
280	0.2726982287
281	0.272602307
282	0.2724876188
283	0.2724306847
284	0.2723178463
285	0.2721502364
286	0.2720650744
287	0.2719997197
288	0.2718812471
289	0.2718084845
290	0.2717077578
291	0.2716379162
292	0.2715917037
293	0.2714656043
294	0.2714022584
295	0.2713468184
296	0.271275726
297	0.2711703172
298	0.2710940458
299	0.2709496522
300	0.2709071004
301	0.2708169446
302	0.270752281
303	0.2706198919
304	0.2705377913
305	0.2704976771
306	0.2704509136
307	0.2703278855
308	0.2702705583
309	0.2701773778
310	0.2701126514
311	0.2700393091
312	0.2699203063
313	0.2698454512
314	0.2698145004
315	0.2697774476
316	0.2697286413
317	0.2695900662
318	0.2695303766
319	0.2694546434
320	0.2693470052
321	0.2692750521
322	0.2692037518
323	0.2691250893
324	0.2690833205
325	0.2690043977
326	0.2689518835
327	0.2689064108
328	0.2688435817
329	0.2687276263
330	0.2686397239
331	0.2685131199
332	0.2684403846
333	0.2683155136
334	0.2682143453
335	0.2681520357
336	0.2680839824
337	0.2679972687
338	0.2679245272
339	0.2678165408
340	0.2677361897
341	0.2677022308
342	0.2675949378
343	0.2675398694
344	0.2674904516
345	0.2674348294
346	0.267413186
347	0.2672909615
348	0.2671758319
349	0.2671241932
350	0.2671079652
351	0.2670593759
352	0.2670001692
353	0.2669575291
354	0.2668752574
355	0.2668230912
356	0.2667854211
357	0.2666914515
358	0.2666099868
359	0.2664776
360	0.2663726923
361	0.2663051496
362	0.2662369503
363	0.266161672
364	0.266110141
365	0.2660478619
366	0.2659475766
367	0.2658527748
368	0.2657762516
369	0.2657206701
370	0.265661796
371	0.2655814381
372	0.2655356367
373	0.2654711164
374	0.2653790315
375	0.2653443402
376	0.2652939577
377	0.2652117687
378	0.2651548135
379	0.2651055523
380	0.2649739733
381	0.264863466
382	0.2648035596
383	0.2647060923
384	0.2646241066
385	0.2644980657
386	0.2644537419
387	0.264407471
388	0.2643022459
389	0.2642500552
390	0.2641505879
391	0.2640375484
392	0.2639937869
393	0.2639018368
394	0.2638304633
395	0.2637237996
396	0.2636836325
397	0.2636330809
398	0.2635779121
399	0.2635266338
400	0.2634798522
401	0.2633960532
402	0.2633382854
403	0.2632911259
404	0.2632410885
405	0.2631932588
406	0.2631716978
407	0.2630879328
408	0.2630787376
409	0.263048912
410	0.2629950506
411	0.2628207036
412	0.262734797
413	0.2626571865
414	0.2625294365
415	0.2624754879
416	0.2624419837
417	0.2623631882
418	0.2622888068
419	0.2622639743
420	0.2621827796
421	0.2621117897
422	0.2620528887
423	0.262001444
424	0.2619513919
425	0.2618669555
426	0.2617998077
427	0.2616905463
428	0.2616523682
429	0.2615952552
430	0.2614887264
431	0.2614376727
432	0.2613924224
433	0.261350466
434	0.2612672672
435	0.261175888
436	0.2611157049
437	0.2610625342
438	0.2610076168
439	0.260944962
440	0.26090564
441	0.2608785549
442	0.2608031159
443	0.2607100482
444	0.2606663306
445	0.2605920478
446	0.2605109583
447	0.2604557432
448	0.2604037594
449	0.2603271602
450	0.2602366104
451	0.2601907533
452	0.2601145871
453	0.2600103448
454	0.2599598505
455	0.2599018352
456	0.2598018743
457	0.2597017965
458	0.2596644907
459	0.2596224133
460	0.2595978794
461	0.2595654737
462	0.2595453157
463	0.2594968751
464	0.2594302345
465	0.2593199862
466	0.2592209966
467	0.2591874249
468	0.2590776526
469	0.2590267686
470	0.2589532522
471	0.258834755
472	0.2587911954
473	0.2586808628
474	0.2586456684
475	0.2585922496
476	0.2585775479
477	0.2584912882
478	0.2584401652
479	0.2584144998
480	0.258373257
481	0.2583422058
482	0.2582968493
483	0.2582576201
484	0.2581796343
485	0.2580978326
486	0.2579792878
487	0.2579314766
488	0.2578804624
489	0.257798474
490	0.2577056418
491	0.2575866902
492	0.2575259322
493	0.2574382544
494	0.2573415725
495	0.2573156602
496	0.2572921332
497	0.2572512729
498	0.2572095892
499	0.2571371576
